date,arrival,departure,slot_arrival,slot_departure,holiday_type
2003.1.3,22803,34681,,,0
2003.1.4,24419,34140,,,1
2003.1.5,32715,37553,,,1
2003.1.6,24271,36312,,,0
2003.1.7,22654,32511,,,0
2003.1.8,23399,33752,,,0
2003.1.9,24697,33139,,,0
2003.1.10,27898,34213,,,0
2003.1.11,31512,30661,,,1
2003.1.12,35592,32126,,,1
2003.1.13,29489,36610,,,0
2003.1.14,28679,32706,,,0
2003.1.15,30241,35217,,,0
2003.1.16,30550,33855,,,0
2003.1.17,32906,34443,,,0
2003.1.18,33306,30228,,,1
2003.1.19,39032,33032,,,1
2003.1.20,35167,30549,,,0
2003.1.21,31803,28717,,,0
2003.1.22,32215,31394,,,0
2003.1.23,32536,30377,,,0
2003.1.24,33463,31323,,,0
2003.1.25,33837,26918,,,1
2003.1.26,39209,26238,,,1
2003.1.27,34370,22026,,,0
2003.1.28,32856,20879,,,0
2003.1.29,32202,28072,,,0
2003.1.30,29777,36821,,,0
2003.1.31,27731,32752,,,2
2003.2.1,22828,15317,,,2
2003.2.2,38861,20098,,,2
2003.2.3,36255,24220,,,0
2003.2.4,30134,26783,,,0
2003.2.5,28865,31515,,,0
2003.2.6,23974,31489,,,0
2003.2.7,25810,35061,,,0
2003.2.8,27434,31026,,,1
2003.2.9,25633,31188,,,1
2003.2.10,27649,32123,,,0
2003.2.11,26796,30480,,,0
2003.2.12,26520,31803,,,0
2003.2.13,24026,31229,,,0
2003.2.14,28144,33987,,,0
2003.2.15,29047,29791,,,1
2003.2.16,36946,34241,,,1
2003.2.17,32092,33283,,,0
2003.2.18,29044,29644,,,0
2003.2.19,30347,33227,,,0
2003.2.20,28946,32725,,,0
2003.2.21,32633,35398,,,0
2003.2.22,33377,30808,,,1
2003.2.23,38849,34082,,,1
2003.2.24,34882,30021,,,0
2003.2.25,32752,27159,,,0
2003.2.26,33410,32128,,,0
2003.2.27,32273,31218,,,0
2003.2.28,33376,33508,,,0
2003.3.1,30974,27947,,,1
2003.3.2,39705,26886,,,1
2003.3.3,29575,24513,,,0
2003.3.4,23683,22953,,,0
2003.3.5,24754,27459,,,0
2003.3.6,23966,25646,,,0
2003.3.7,26343,28030,,,0
2003.3.8,25183,22642,,,1
2003.3.9,30677,25615,,,1
2003.3.10,26740,25797,,,0
2003.3.11,22590,23138,,,0
2003.3.12,24379,27760,,,0
2003.3.13,23523,26134,,,0
2003.3.14,26969,28185,,,0
2003.3.15,27440,24777,,,1
2003.3.16,31316,27334,,,1
2003.3.17,26789,26223,,,0
2003.3.18,22551,21912,,,0
2003.3.19,26277,25338,,,0
2003.3.20,26401,23953,,,0
2003.3.21,30092,25590,,,0
2003.3.22,23023,22952,,,1
2003.3.23,27729,27438,,,1
2003.3.24,23619,22963,,,0
2003.3.25,20627,19929,,,0
2003.3.26,23053,22191,,,0
2003.3.27,22160,21049,,,0
2003.3.28,23488,24126,,,0
2003.3.29,22931,21353,,,1
2003.3.30,24415,23147,,,1
2003.3.31,20933,20938,,,0
2003.4.1,18094,17463,,,0
2003.4.2,17532,18693,,,0
2003.4.3,18466,19159,,,0
2003.4.4,19342,22774,,,0
2003.4.5,17202,18970,,,1
2003.4.6,26058,20032,,,1
2003.4.7,19066,17553,,,0
2003.4.8,15749,14217,,,0
2003.4.9,15717,15493,,,0
2003.4.10,18440,16659,,,0
2003.4.11,18655,16683,,,0
2003.4.12,18904,15891,,,1
2003.4.13,21481,19231,,,1
2003.4.14,18113,15749,,,0
2003.4.15,15614,14519,,,0
2003.4.16,16750,17858,,,0
2003.4.17,16991,17513,,,0
2003.4.18,18751,16262,,,0
2003.4.19,17509,15850,,,1
2003.4.20,18869,19716,,,1
2003.4.21,15200,18746,,,0
2003.4.22,14249,14848,,,0
2003.4.23,15381,17117,,,0
2003.4.24,17707,16368,,,0
2003.4.25,18467,17174,,,0
2003.4.26,21621,17166,,,1
2003.4.27,21898,17984,,,1
2003.4.28,16513,15718,,,0
2003.4.29,17641,14943,,,0
2003.4.30,16975,17423,,,0
2003.5.1,19801,19057,,,0
2003.5.2,16928,18291,,,0
2003.5.3,17665,23058,,,1
2003.5.4,15914,19750,,,1
2003.5.5,25066,19400,,,1
2003.5.6,14433,13752,,,0
2003.5.7,12736,14236,,,0
2003.5.8,17219,14932,,,1
2003.5.9,14549,12846,,,0
2003.5.10,16065,14826,,,1
2003.5.11,20017,17499,,,1
2003.5.12,16457,15666,,,0
2003.5.13,13901,13628,,,0
2003.5.14,13934,14349,,,0
2003.5.15,15842,16093,,,0
2003.5.16,16006,17367,,,0
2003.5.17,16236,16034,,,1
2003.5.18,18327,18055,,,1
2003.5.19,15566,16124,,,0
2003.5.20,12919,13854,,,0
2003.5.21,14831,15037,,,0
2003.5.22,15418,14273,,,0
2003.5.23,16064,15808,,,0
2003.5.24,16657,15127,,,1
2003.5.25,19061,16907,,,1
2003.5.26,15979,16594,,,0
2003.5.27,13797,14646,,,0
2003.5.28,16064,15765,,,0
2003.5.29,16888,17682,,,0
2003.5.30,16940,18136,,,0
2003.5.31,16828,17570,,,1
2003.6.1,19388,17510,,,1
2003.6.2,15901,15921,,,0
2003.6.3,13280,14312,,,0
2003.6.4,15679,18234,,,0
2003.6.5,15885,23487,,,0
2003.6.6,17050,27434,,,1
2003.6.7,19909,14850,,,1
2003.6.8,33124,17490,,,1
2003.6.9,22949,18537,,,0
2003.6.10,15527,15804,,,0
2003.6.11,18231,18312,,,0
2003.6.12,18756,19346,,,0
2003.6.13,18474,19995,,,0
2003.6.14,19979,19984,,,1
2003.6.15,22707,22276,,,1
2003.6.16,20641,19983,,,0
2003.6.17,16569,17801,,,0
2003.6.18,18528,21543,,,0
2003.6.19,20480,22575,,,0
2003.6.20,20571,23986,,,0
2003.6.21,22048,23091,,,1
2003.6.22,25742,25021,,,1
2003.6.23,22781,24347,,,0
2003.6.24,19095,23017,,,0
2003.6.25,22846,25857,,,0
2003.6.26,23674,26248,,,0
2003.6.27,24303,29051,,,0
2003.6.28,27029,26824,,,1
2003.6.29,28572,28392,,,1
2003.6.30,27493,27304,,,0
2003.7.1,22196,24412,,,0
