date,arrival,departure,slot_arrival,slot_departure
2003.9.18,25642,28864,,
2003.9.19,25229,28985,,
2003.9.20,30434,27907,,
2003.9.21,33269,30191,,
2003.9.22,28728,32368,,
2003.9.23,25968,31623,,
2003.9.24,27442,30290,,
2003.9.25,30331,31139,,
2003.9.26,30979,30109,,
2003.9.27,33562,29141,,
2003.9.28,33761,31276,,
2003.9.29,31289,30021,,
2003.9.30,26965,27371,,
2003.10.1,29473,30294,,
2003.10.2,27690,34858,,
2003.10.3,25431,37601,,
2003.10.4,29024,26426,,
2003.10.5,43057,32048,,
2003.10.6,34506,30116,,
2003.10.7,24950,27297,,
2003.10.8,26407,28943,,
2003.10.9,27974,28863,,
2003.10.10,29267,29649,,
2003.10.11,31599,28228,,
2003.10.12,32521,32591,,
2003.10.13,27822,36594,,
2003.10.14,24291,30348,,
2003.10.15,25934,31266,,
2003.10.16,31204,30443,,
2003.10.17,31019,28147,,
2003.10.18,31400,27570,,
2003.10.19,36692,32032,,
2003.10.20,32452,31830,,
2003.10.21,26798,26285,,
2003.10.22,28567,29994,,
2003.10.23,30866,31080,,
2003.10.24,31597,30466,,
2003.10.25,30256,28491,,
2003.10.26,33760,33729,,
2003.10.27,28912,31822,,
2003.10.28,24719,27230,,
2003.10.29,26172,27708,,
2003.10.30,29554,29002,,
2003.10.31,29967,29953,,
2003.11.1,30284,26802,,
2003.11.2,33121,31257,,
2003.11.3,28807,34141,,
2003.11.4,22422,28941,,
2003.11.5,25248,30842,,
2003.11.6,28027,31080,,
2003.11.7,28698,31119,,
2003.11.8,30266,30027,,
2003.11.9,34908,32899,,
2003.11.10,30599,32044,,
2003.11.11,23725,29014,,
2003.11.12,25458,33757,,
2003.11.13,29379,32761,,
2003.11.14,30104,32681,,
2003.11.15,32154,32076,,
2003.11.16,35308,35286,,
2003.11.17,32334,32048,,
2003.11.18,24707,29447,,
2003.11.19,25342,30588,,
2003.11.20,30690,31111,,
2003.11.21,33460,31129,,
2003.11.22,36252,28174,,
2003.11.23,37886,29918,,
2003.11.24,34814,35198,,
2003.11.25,27981,29806,,
2003.11.26,28393,32439,,
2003.11.27,30194,31991,,
2003.11.28,30585,32456,,
2003.11.29,30344,28965,,
2003.11.30,34527,33248,,
2003.12.1,32433,29442,,
2003.12.2,23999,25513,,
2003.12.3,27289,27991,,
2003.12.4,28788,29518,,
2003.12.5,29978,27856,,
2003.12.6,30561,26827,,
2003.12.7,35227,30884,,
2003.12.8,30511,29649,,
2003.12.9,25247,26314,,
2003.12.10,27803,30498,,
2003.12.11,29824,30553,,
2003.12.12,30741,30178,,
2003.12.13,32833,28969,,
2003.12.14,35658,33802,,
2003.12.15,32880,32377,,
2003.12.16,27909,26781,,
2003.12.17,30655,30503,,
2003.12.18,33277,32665,,
2003.12.19,32431,31650,,
2003.12.20,33490,29533,,
2003.12.21,37421,30126,,
2003.12.22,30282,26708,,
2003.12.23,29770,27997,,
2003.12.24,29302,27464,,
2003.12.25,29687,28489,,
2003.12.26,27596,27303,,
2003.12.27,30226,28921,,
2003.12.28,35828,30540,,
2003.12.29,29675,28156,,
